embeddings,classifier,normalization,fit time,score time,accuracy,precision macro,recall macro,f1 score,roc auc
BOW 3q-grams,LogReg,non-prepocessed,44.734639,5.152889,0.875483,0.876079,0.875068,0.870517,0.923961
BOW 3q-grams,NB,non-prepocessed,10.706098,5.230181,0.821726,0.822532,0.821174,0.81389,0.846148
BOW 3q-grams,KNN,non-prepocessed,10.703377,8.826424,0.753382,0.759648,0.755004,0.766154,0.844774
BOW 3q-grams,SVM,non-prepocessed,27.296346,10.060656,0.840094,0.841281,0.840089,0.836876,0.89359
BOW,LogReg,non-prepocessed,3.654028,0.390732,0.878252,0.881189,0.877343,0.870484,0.938816
BOW,NB,non-prepocessed,1.12033,0.373205,0.841149,0.844484,0.842213,0.845439,0.895157
BOW,KNN,non-prepocessed,1.097858,0.598313,0.681927,0.741807,0.67614,0.563026,0.709131
BOW,SVM,non-prepocessed,3.219775,1.056939,0.842526,0.842981,0.842238,0.837376,0.904832
TF-IDF 4q-grams,LogReg,non-prepocessed,23.249001,8.819876,0.87202,0.881416,0.870343,0.858333,0.952238
TF-IDF 4q-grams,NB,non-prepocessed,19.593553,8.874914,0.804373,0.834641,0.807731,0.82701,0.936383
TF-IDF 4q-grams,KNN,non-prepocessed,17.974698,13.691779,0.64552,0.722626,0.651935,0.72083,0.763027
TF-IDF 4q-grams,SVM,non-prepocessed,58.342842,26.84188,0.892483,0.897425,0.891336,0.8841,0.961944
TF-IDF,LogReg,non-prepocessed,1.856271,0.398876,0.873407,0.881506,0.871805,0.860632,0.952404
TF-IDF,NB,non-prepocessed,1.174174,0.378562,0.843577,0.854971,0.845594,0.853806,0.93594
TF-IDF,KNN,non-prepocessed,1.144295,0.573894,0.78704,0.794759,0.785473,0.764468,0.855416
TF-IDF,SVM,non-prepocessed,5.596141,1.933859,0.887625,0.890701,0.886694,0.880232,0.956545
BOW 3q-grams,LogReg,preprocessed,19.168014,3.090607,0.85848,0.859328,0.857973,0.852265,0.906876
BOW 3q-grams,NB,preprocessed,6.123717,3.068465,0.870285,0.87118,0.8704,0.868276,0.903348
BOW 3q-grams,KNN,preprocessed,6.128451,5.972695,0.773158,0.783633,0.775226,0.788792,0.869265
BOW 3q-grams,SVM,preprocessed,16.628136,6.028898,0.822412,0.822474,0.822353,0.818524,0.877292
BOW,LogReg,preprocessed,1.555644,0.228125,0.883111,0.886101,0.882192,0.875471,0.936628
BOW,NB,preprocessed,0.582172,0.228127,0.856405,0.861213,0.857605,0.861077,0.918836
BOW,KNN,preprocessed,0.578133,0.420077,0.790156,0.802219,0.78787,0.760917,0.837989
BOW,SVM,preprocessed,1.960992,0.646748,0.851201,0.85146,0.851022,0.847225,0.909122
TF-IDF 4q-grams,LogReg,preprocessed,11.253784,4.88113,0.887622,0.896303,0.886006,0.876205,0.950668
TF-IDF 4q-grams,NB,preprocessed,10.167578,5.054441,0.835242,0.855296,0.837906,0.850114,0.948685
TF-IDF 4q-grams,KNN,preprocessed,10.78978,9.625234,0.663544,0.744828,0.669846,0.733921,0.777291
TF-IDF 4q-grams,SVM,preprocessed,34.214188,15.876643,0.894906,0.900433,0.893691,0.886465,0.959407
TF-IDF,LogReg,preprocessed,0.879254,0.235142,0.884845,0.892718,0.883302,0.873654,0.95921
TF-IDF,NB,preprocessed,0.597984,0.234377,0.856404,0.866876,0.85831,0.865146,0.944764
TF-IDF,KNN,preprocessed,0.633747,0.409028,0.522376,0.60329,0.511794,0.079573,0.518805
TF-IDF,SVM,preprocessed,2.719166,1.073186,0.894559,0.897659,0.893617,0.887602,0.95714
